Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
2021-09-13T00:00:00,<12 Years,13.50073591,0.005,0.003
2021-09-13T00:00:00,12 - 15 Years,20.01457622,0.52,0.403
2021-09-13T00:00:00,16 - 17 Years,20.41518924,0.599,0.489
2021-09-13T00:00:00,18 - 24 Years,17.36974823,0.616,0.497
2021-09-13T00:00:00,25 - 39 Years,16.12724506,0.649,0.539
2021-09-13T00:00:00,40 - 49 Years,14.52757816,0.738,0.631
2021-09-13T00:00:00,50 - 64 Years,10.97553128,0.816,0.716
2021-09-13T00:00:00,65 - 74 Years,7.764279659,0.951,0.845
2021-09-13T00:00:00,75+ Years,8.195697955,0.898,0.798
2021-09-12T00:00:00,<12 Years,15.20379675,0.005,0.003
2021-09-12T00:00:00,12 - 15 Years,22.24240442,0.518,0.401
2021-09-12T00:00:00,16 - 17 Years,22.85102399,0.598,0.487
2021-09-12T00:00:00,18 - 24 Years,19.63320942,0.615,0.496
2021-09-12T00:00:00,25 - 39 Years,18.32779648,0.647,0.538
2021-09-12T00:00:00,40 - 49 Years,16.56594597,0.737,0.629
2021-09-12T00:00:00,50 - 64 Years,12.48547561,0.816,0.715
2021-09-12T00:00:00,65 - 74 Years,8.822081116,0.951,0.845
2021-09-12T00:00:00,75+ Years,9.470973796,0.898,0.797
2021-09-11T00:00:00,<12 Years,16.32171861,0.005,0.003
2021-09-11T00:00:00,12 - 15 Years,23.41953143,0.516,0.398
2021-09-11T00:00:00,16 - 17 Years,24.29288656,0.596,0.486
2021-09-11T00:00:00,18 - 24 Years,20.52668095,0.613,0.494
2021-09-11T00:00:00,25 - 39 Years,19.77688861,0.646,0.536
2021-09-11T00:00:00,40 - 49 Years,17.8418303,0.736,0.628
2021-09-11T00:00:00,50 - 64 Years,13.46508917,0.815,0.714
2021-09-11T00:00:00,65 - 74 Years,9.524878636,0.95,0.844
2021-09-11T00:00:00,75+ Years,10.35574461,0.897,0.797
2021-09-10T00:00:00,<12 Years,17.88674971,0.005,0.003
2021-09-10T00:00:00,12 - 15 Years,25.5508318,0.514,0.395
2021-09-10T00:00:00,16 - 17 Years,26.55817842,0.595,0.483
2021-09-10T00:00:00,18 - 24 Years,22.40391662,0.611,0.492
2021-09-10T00:00:00,25 - 39 Years,21.63759468,0.644,0.534
2021-09-10T00:00:00,40 - 49 Years,19.45821027,0.734,0.627
2021-09-10T00:00:00,50 - 64 Years,14.5843232,0.814,0.713
2021-09-10T00:00:00,65 - 74 Years,10.38079016,0.949,0.844
2021-09-10T00:00:00,75+ Years,11.22789587,0.897,0.796
2021-09-09T00:00:00,<12 Years,19.85307847,0.005,0.003
2021-09-09T00:00:00,12 - 15 Years,28.14085293,0.512,0.392
2021-09-09T00:00:00,16 - 17 Years,29.23690758,0.593,0.481
2021-09-09T00:00:00,18 - 24 Years,24.53784807,0.609,0.49
2021-09-09T00:00:00,25 - 39 Years,23.74168069,0.642,0.532
2021-09-09T00:00:00,40 - 49 Years,21.24111777,0.733,0.625
2021-09-09T00:00:00,50 - 64 Years,15.9423877,0.813,0.711
2021-09-09T00:00:00,65 - 74 Years,11.34825011,0.949,0.843
2021-09-09T00:00:00,75+ Years,12.42044354,0.896,0.796
2021-09-08T00:00:00,<12 Years,20.18179153,0.005,0.003
2021-09-08T00:00:00,12 - 15 Years,28.21944197,0.511,0.389
2021-09-08T00:00:00,16 - 17 Years,29.57971601,0.592,0.479
2021-09-08T00:00:00,18 - 24 Years,25.14153227,0.608,0.489
2021-09-08T00:00:00,25 - 39 Years,24.37683265,0.641,0.531
2021-09-08T00:00:00,40 - 49 Years,21.71235524,0.732,0.624
2021-09-08T00:00:00,50 - 64 Years,16.33105477,0.812,0.71
2021-09-08T00:00:00,65 - 74 Years,11.57007456,0.948,0.842
2021-09-08T00:00:00,75+ Years,12.72401387,0.896,0.795
2021-09-07T00:00:00,<12 Years,21.36872825,0.005,0.003
2021-09-07T00:00:00,12 - 15 Years,30.02784392,0.508,0.386
2021-09-07T00:00:00,16 - 17 Years,31.31959797,0.589,0.476
2021-09-07T00:00:00,18 - 24 Years,26.96298506,0.606,0.487
2021-09-07T00:00:00,25 - 39 Years,25.94392078,0.639,0.529
2021-09-07T00:00:00,40 - 49 Years,22.95989445,0.73,0.622
2021-09-07T00:00:00,50 - 64 Years,17.23325275,0.811,0.709
2021-09-07T00:00:00,65 - 74 Years,12.25378584,0.947,0.841
2021-09-07T00:00:00,75+ Years,13.32204042,0.895,0.795
2021-09-06T00:00:00,<12 Years,22.37182365,0.005,0.003
2021-09-06T00:00:00,12 - 15 Years,31.71409119,0.507,0.384
2021-09-06T00:00:00,16 - 17 Years,33.30926497,0.588,0.475
2021-09-06T00:00:00,18 - 24 Years,28.32446548,0.605,0.487
2021-09-06T00:00:00,25 - 39 Years,26.91786268,0.638,0.529
2021-09-06T00:00:00,40 - 49 Years,23.77623366,0.73,0.621
2021-09-06T00:00:00,50 - 64 Years,17.68775712,0.81,0.709
2021-09-06T00:00:00,65 - 74 Years,12.67792436,0.947,0.841
2021-09-06T00:00:00,75+ Years,13.78826276,0.895,0.795
2021-09-05T00:00:00,<12 Years,25.20113572,0.005,0.003
2021-09-05T00:00:00,12 - 15 Years,35.96729541,0.505,0.382
2021-09-05T00:00:00,16 - 17 Years,37.40229422,0.587,0.473
2021-09-05T00:00:00,18 - 24 Years,31.4071786,0.604,0.486
2021-09-05T00:00:00,25 - 39 Years,29.85340883,0.638,0.528
2021-09-05T00:00:00,40 - 49 Years,26.34217486,0.729,0.62
2021-09-05T00:00:00,50 - 64 Years,19.62564387,0.81,0.708
2021-09-05T00:00:00,65 - 74 Years,14.00547791,0.947,0.841
2021-09-05T00:00:00,75+ Years,15.13014179,0.895,0.794
2021-09-04T00:00:00,<12 Years,25.84339046,0.005,0.003
2021-09-04T00:00:00,12 - 15 Years,37.0179966,0.503,0.38
2021-09-04T00:00:00,16 - 17 Years,38.40315701,0.586,0.472
2021-09-04T00:00:00,18 - 24 Years,31.94987982,0.602,0.485
2021-09-04T00:00:00,25 - 39 Years,30.47610683,0.636,0.527
2021-09-04T00:00:00,40 - 49 Years,26.89844767,0.728,0.619
2021-09-04T00:00:00,50 - 64 Years,19.99841918,0.809,0.707
2021-09-04T00:00:00,65 - 74 Years,14.27947139,0.946,0.84
2021-09-04T00:00:00,75+ Years,15.35799482,0.894,0.794
2021-09-03T00:00:00,<12 Years,26.67989824,0.005,0.003
2021-09-03T00:00:00,12 - 15 Years,38.35998974,0.501,0.377
2021-09-03T00:00:00,16 - 17 Years,39.68136732,0.584,0.469
2021-09-03T00:00:00,18 - 24 Years,32.64054749,0.6,0.483
2021-09-03T00:00:00,25 - 39 Years,31.24466393,0.634,0.525
2021-09-03T00:00:00,40 - 49 Years,27.54577914,0.726,0.618
2021-09-03T00:00:00,50 - 64 Years,20.53533368,0.808,0.706
2021-09-03T00:00:00,65 - 74 Years,14.53225795,0.945,0.84
2021-09-03T00:00:00,75+ Years,15.54798918,0.893,0.793
2021-09-02T00:00:00,<12 Years,28.11582395,0.005,0.003
2021-09-02T00:00:00,12 - 15 Years,40.35888467,0.498,0.372
2021-09-02T00:00:00,16 - 17 Years,41.58834686,0.581,0.466
2021-09-02T00:00:00,18 - 24 Years,34.4322179,0.597,0.481
2021-09-02T00:00:00,25 - 39 Years,32.94220201,0.632,0.523
2021-09-02T00:00:00,40 - 49 Years,28.92370587,0.724,0.616
2021-09-02T00:00:00,50 - 64 Years,21.5020068,0.806,0.704
2021-09-02T00:00:00,65 - 74 Years,15.20070025,0.944,0.838
2021-09-02T00:00:00,75+ Years,16.0254289,0.893,0.793
2021-09-01T00:00:00,<12 Years,29.1397428,0.005,0.003
2021-09-01T00:00:00,12 - 15 Years,41.77348724,0.496,0.37
2021-09-01T00:00:00,16 - 17 Years,43.17318983,0.579,0.464
2021-09-01T00:00:00,18 - 24 Years,35.93504645,0.596,0.479
2021-09-01T00:00:00,25 - 39 Years,34.54053058,0.63,0.522
2021-09-01T00:00:00,40 - 49 Years,30.35619693,0.723,0.614
2021-09-01T00:00:00,50 - 64 Years,22.56584669,0.805,0.703
2021-09-01T00:00:00,65 - 74 Years,15.86320461,0.943,0.838
2021-09-01T00:00:00,75+ Years,16.7840042,0.892,0.792
2021-08-31T00:00:00,<12 Years,30.52717961,0.005,0.003
2021-08-31T00:00:00,12 - 15 Years,43.39908428,0.492,0.366
2021-08-31T00:00:00,16 - 17 Years,45.02676705,0.576,0.461
2021-08-31T00:00:00,18 - 24 Years,38.31905539,0.593,0.477
2021-08-31T00:00:00,25 - 39 Years,37.06003003,0.628,0.52
2021-08-31T00:00:00,40 - 49 Years,32.47782851,0.721,0.613
2021-08-31T00:00:00,50 - 64 Years,24.17681722,0.804,0.702
2021-08-31T00:00:00,65 - 74 Years,16.98293029,0.942,0.837
2021-08-31T00:00:00,75+ Years,17.92607365,0.891,0.791
2021-08-30T00:00:00,<12 Years,31.44638625,0.005,0.003
2021-08-30T00:00:00,12 - 15 Years,44.52154066,0.49,0.363
2021-08-30T00:00:00,16 - 17 Years,46.03624312,0.575,0.459
2021-08-30T00:00:00,18 - 24 Years,39.91170383,0.592,0.476
2021-08-30T00:00:00,25 - 39 Years,38.81688274,0.627,0.519
2021-08-30T00:00:00,40 - 49 Years,33.83945679,0.72,0.611
2021-08-30T00:00:00,50 - 64 Years,25.24179224,0.803,0.701
2021-08-30T00:00:00,65 - 74 Years,17.67003468,0.942,0.836
2021-08-30T00:00:00,75+ Years,18.6159425,0.891,0.791
2021-08-29T00:00:00,<12 Years,31.60464448,0.005,0.003
2021-08-29T00:00:00,12 - 15 Years,44.67017644,0.488,0.36
2021-08-29T00:00:00,16 - 17 Years,46.56509833,0.573,0.457
2021-08-29T00:00:00,18 - 24 Years,40.36033054,0.591,0.475
2021-08-29T00:00:00,25 - 39 Years,39.45984482,0.626,0.518
2021-08-29T00:00:00,40 - 49 Years,34.1611738,0.719,0.61
2021-08-29T00:00:00,50 - 64 Years,25.48743346,0.802,0.7
2021-08-29T00:00:00,65 - 74 Years,17.89864534,0.941,0.836
2021-08-29T00:00:00,75+ Years,18.94965954,0.89,0.791
2021-08-28T00:00:00,<12 Years,31.78134634,0.005,0.003
2021-08-28T00:00:00,12 - 15 Years,44.79233113,0.486,0.357
2021-08-28T00:00:00,16 - 17 Years,46.70118811,0.571,0.454
2021-08-28T00:00:00,18 - 24 Years,40.81888471,0.589,0.474
2021-08-28T00:00:00,25 - 39 Years,39.88074645,0.624,0.516
2021-08-28T00:00:00,40 - 49 Years,34.57997282,0.717,0.609
2021-08-28T00:00:00,50 - 64 Years,25.78233914,0.801,0.699
2021-08-28T00:00:00,65 - 74 Years,18.0865387,0.94,0.835
2021-08-28T00:00:00,75+ Years,19.02046925,0.89,0.79
2021-08-27T00:00:00,<12 Years,31.62070828,0.005,0.003
2021-08-27T00:00:00,12 - 15 Years,44.4301382,0.483,0.353
2021-08-27T00:00:00,16 - 17 Years,46.54959443,0.568,0.452
2021-08-27T00:00:00,18 - 24 Years,41.00892468,0.586,0.472
2021-08-27T00:00:00,25 - 39 Years,40.06333417,0.622,0.514
2021-08-27T00:00:00,40 - 49 Years,34.70043955,0.715,0.607
2021-08-27T00:00:00,50 - 64 Years,25.83818733,0.799,0.697
2021-08-27T00:00:00,65 - 74 Years,18.2175975,0.939,0.834
2021-08-27T00:00:00,75+ Years,19.18171908,0.889,0.79
2021-08-26T00:00:00,<12 Years,30.49445705,0.005,0.003
2021-08-26T00:00:00,12 - 15 Years,42.72595214,0.479,0.35
2021-08-26T00:00:00,16 - 17 Years,44.96130614,0.566,0.449
2021-08-26T00:00:00,18 - 24 Years,39.61246179,0.584,0.47
2021-08-26T00:00:00,25 - 39 Years,38.87218677,0.62,0.513
2021-08-26T00:00:00,40 - 49 Years,33.65840239,0.713,0.605
2021-08-26T00:00:00,50 - 64 Years,25.13509041,0.798,0.696
2021-08-26T00:00:00,65 - 74 Years,17.81127281,0.938,0.833
2021-08-26T00:00:00,75+ Years,18.80173035,0.888,0.789
2021-08-25T00:00:00,<12 Years,29.69870373,0.005,0.003
2021-08-25T00:00:00,12 - 15 Years,41.38823014,0.477,0.347
2021-08-25T00:00:00,16 - 17 Years,43.37474051,0.564,0.446
2021-08-25T00:00:00,18 - 24 Years,38.58095128,0.582,0.469
2021-08-25T00:00:00,25 - 39 Years,37.91724244,0.618,0.511
2021-08-25T00:00:00,40 - 49 Years,32.77828669,0.712,0.604
2021-08-25T00:00:00,50 - 64 Years,24.41973414,0.797,0.695
